,Index,Heading,Questions,Answers,URLs
31,31,Land Transaction Tax for non-residential and mixed use property,How much you pay," You can use our  tax calculator(https://www.gov.wales/land-transaction-tax-calculator)  to help you work out how much you’ll pay once you’ve decided if the property is: 
 
 residential 
 non-residential 
 mixed used 
 
 To pay the right amount of tax, you must also select the right property type when completing your tax return. 
 ",https://www.gov.wales/land-transaction-tax-non-residential-mixed-use-property-guide
32,32,Land Transaction Tax for non-residential and mixed use property,Help and support," For a more detailed explanation, or if you’re uncertain how the tax applies: 
 
 use our  interpretation guidance(https://www.gov.wales/land-transaction-tax-interpretation-provisions-technical-guidance) 
 watch our  short explainer video on mixed use(https://www.youtube.com/watch?v=L5-xjiWbt2g) 
 you may want to check with a solicitor or conveyancer 
 you can  contact us(https://www.gov.wales/welsh-revenue-authority/contact-us) 
 
 ",https://www.gov.wales/land-transaction-tax-non-residential-mixed-use-property-guide
33,33,File Land Transaction Tax, ," Use this service to sign in and file a Land Transaction Tax (LTT) return online as a solicitor or conveyancer. Sign in(https://lttservice.wra.gov.wales) to: file returns view submitted returns generate LTT certificates 
 ",https://www.gov.wales/file-land-transaction-tax
34,34,File Land Transaction Tax, ," Before you start You and your organisation will need to  register to file LTT online(https://www.gov.wales/register-organisation-file-land-transaction-tax-online)  before you can use this service. If your organisation is already registered, but you do not have your own login,  create a new user account(https://www.gov.wales/create-user-account-file-land-transaction-tax-online) . You may want to use our checker to  find out if a postcode is located in Wales for LTT(https://www.gov.wales/find-out-if-postcode-wales-land-transaction-tax) . Taxpayers filing without a solicitor or conveyancer If you do not use a solicitor or conveyancer, you’ll need to file a paper return and  pay the tax(https://www.gov.wales/pay-land-transaction-tax)  yourself. For a paper return, email  contact@wra.gov.wales(mailto:contact@wra.gov.wales)  or use other ways to  contact us(https://www.gov.wales/welsh-revenue-authority/contact-us)(https://www.gov.wales/welsh-revenue-authority/contact-us)(https://www.gov.wales/welsh-revenue-authority/contact-us) . To send the correct forms, let us know if there are: more than 2 buyers more than 2 sellers more than one piece of land Please give your language preference when you contact. Rydym yn croesawu gohebiaeth yn Gymraeg / We welcome correspondence in Welsh. Using email to correspond about tax(https://www.gov.wales/welsh-revenue-authority-using-email-correspond-about-tax) Support If you forget your password, you can reset it on the sign in page. If you need help with any of these processes, please  contact us(https://www.gov.wales/welsh-revenue-authority/contact-us)(https://www.gov.wales/welsh-revenue-authority/contact-us)(https://www.gov.wales/welsh-revenue-authority/contact-us) . Using browsers for Welsh Revenue Authority(https://www.gov.wales/welsh-revenue-authority)(https://www.gov.wales/welsh-revenue-authority) online services(https://www.gov.wales/using-browsers-welsh-revenue-authority-online-services) 
 ",https://www.gov.wales/file-land-transaction-tax
35,35,File Land Transaction Tax,BUTTON LINK,Sign in (https://lttservice.wra.gov.wales),https://www.gov.wales/file-land-transaction-tax
36,36,Register your organisation to file Land Transaction Tax online, ," This service is for organisations only. Taxpayers without a solicitor or conveyancer will need to  contact us(https://www.gov.wales/welsh-revenue-authority/contact-us)(https://www.gov.wales/welsh-revenue-authority/contact-us)(https://www.gov.wales/welsh-revenue-authority/contact-us)  to ask for an LTT paper return 
 Only one registration permitted per organisation, including those with multiple locations or offices. 
 Allow up to 2 weeks to complete the process. If you have an urgent request, please  contact us(https://www.gov.wales/welsh-revenue-authority/contact-us)(https://www.gov.wales/welsh-revenue-authority/contact-us)(https://www.gov.wales/welsh-revenue-authority/contact-us) . 
 ",https://www.gov.wales/register-organisation-file-land-transaction-tax-online
37,37,Register your organisation to file Land Transaction Tax online, ," Before you start 
 You cannot register an organisation more than once, so first check if your organisation is already registered to file LTT online. 
 If you’re unsure if an account already exists, please  contact us(https://www.gov.wales/welsh-revenue-authority/contact-us)(https://www.gov.wales/welsh-revenue-authority/contact-us)(https://www.gov.wales/welsh-revenue-authority/contact-us) . 
 What you’ll need 
 When registering your organisation, you’ll need: 
 
 your companies house registration number 
 your charity number 
 your partnership or trust Unique Taxpayer Reference (UTR) 
 Self Assessment UTR if you’re self-employed 
 your VAT registration number 
 
 You’ll also need details of: 
 
 a key contact within your organisation 
 a named online administrator to manage user accounts 
 
 Email addresses should be an individual email address like ‘first.name@’ not a shared mailbox such as ‘info@’. 
 ",https://www.gov.wales/register-organisation-file-land-transaction-tax-online
38,38,Register your organisation to file Land Transaction Tax online, ," To complete registration 
 Your online administrator will receive your organisation registration number by encrypted email within 2 weeks. 
 This should be shared with all relevant organisation addresses to create associated accounts. 
 They must use this to  create admin user account and manage users(https://www.gov.wales/create-admin-user-account-and-manage-users-land-transaction-tax-online) . 
 ",https://www.gov.wales/register-organisation-file-land-transaction-tax-online
39,39,Register your organisation to file Land Transaction Tax online, ," Support 
 Contact us(https://gov.wales/welsh-revenue-authority/contact-us)  if you need any help with this process. 
 ",https://www.gov.wales/register-organisation-file-land-transaction-tax-online
40,40,Register your organisation to file Land Transaction Tax online,BUTTON LINK,Start now (https://lttservice.wra.gov.wales/home/register),https://www.gov.wales/register-organisation-file-land-transaction-tax-online
41,41,Create a user account to file Land Transaction Tax online, ," Use this service to create a user account to file Land Transaction Tax online, as a solicitor or conveyancer. 
 Your  organisation will need to be registered(https://www.gov.wales/register-organisation-file-land-transaction-tax-online)  before you can create a user account. 
 ",https://www.gov.wales/create-user-account-file-land-transaction-tax-online
42,42,Create a user account to file Land Transaction Tax online, ," Before you start 
 If you’re unsure whether an account already exists, please  contact us.(https://www.gov.wales/welsh-revenue-authority/contact-us) 
 You'll need your organisation’s registration number from your online administrator to register. They can find it on their ‘Manage online users’ page. 
 Read our  online services terms and conditions(https://www.gov.wales/welsh-revenue-authority/online-services-terms-and-conditions)  and  privacy policy(https://www.gov.wales/welsh-revenue-authority/privacy-policy) . 
 How to create a user account 
 
 Enter your email address and select  Send verification code . 
 A verification code from Microsoft will be sent to this email address. You need to use the code within 10 minutes. 
 If you do not receive it immediately, check your ‘junk’ or ‘spam’ folder. Contact us(https://www.gov.wales/welsh-revenue-authority/contact-us) if you’ve not received it. 
 Once received, enter the verification code, and select  Verify code . 
 Choose and confirm a password, then select  Create . 
 The next screen will ask for your name, enter this and select  Next . 
 Enter your organisation’s registration number from your online administrator. 
 Your account will then be created. Tell your online administrator, so they can activate you. 
 
 Support 
 Contact us(https://www.gov.wales/welsh-revenue-authority/contact-us)  if you need any help with this process. 
 ",https://www.gov.wales/create-user-account-file-land-transaction-tax-online
43,43,Create a user account to file Land Transaction Tax online,BUTTON LINK,Start now (https://lttservice.wra.gov.wales/Account/SignUp),https://www.gov.wales/create-user-account-file-land-transaction-tax-online
44,44,Create admin user account and manage users for Land Transaction Tax online,How to create an administrator user account," Click the  Start now(https://lttservice.wra.gov.wales/Account/SignUp)  button below. Enter the same email address for the administrator that you used when registering your organisation and select  Send verification code. A verification code from Microsoft will be sent to this email address. You need to use the code within 10 minutes. If you do not receive it immediately, check your ‘junk’ or ‘spam’ folder. Contact us if you’ve not received it. Once received, click the link in the email, type in the verification code and select  Verify code . Choose and confirm a password, then select  Create . The next screen will ask for your name, enter this and select  Next . Enter your organisation’s registration number that we sent when you registered your organisation. Your user account will be automatically activated. 
 
 
 
 Start now(https://lttservice.wra.gov.wales/Account/SignUp) 
 
 Welsh Revenue Authority(https://www.gov.wales/welsh-revenue-authority)(https://www.gov.wales/welsh-revenue-authority) online service 
 
 Start now(https://lttservice.wra.gov.wales/Account/SignUp) 
 Welsh Revenue Authority(https://www.gov.wales/welsh-revenue-authority)(https://www.gov.wales/welsh-revenue-authority) online service 
 Do not share your account details and password. If others in your organisation need access, they can  create a new user account(https://www.gov.wales/create-user-account-file-land-transaction-tax-online)(https://www.gov.wales/create-user-account-file-land-transaction-tax-online) . The administrator can then activate them (https://www.gov.wales/create-admin-user-account-and-manage-users-land-transaction-tax-online#44370)to allow access. 
 ",https://www.gov.wales/create-admin-user-account-and-manage-users-land-transaction-tax-online
45,45,Create admin user account and manage users for Land Transaction Tax online,Managing users for your organisation," As  an administrator user(None) , you can: add new users to your organisation’s account activate and deactivate users upgrade users to administrators or change them to a user 
 ",https://www.gov.wales/create-admin-user-account-and-manage-users-land-transaction-tax-online
46,46,Create admin user account and manage users for Land Transaction Tax online,How to add online users," There are 2 ways new users can be added to your organisation’s account:  An administrator creates a new user and the user is automatically sent an invite link to create their password: Administrators can click ‘Create a new user’ within the ‘Manage online users’ section of their account. Only the name and email address of the user is required to do this. Once the user account has been created, they receive an email with a link inviting them to create the password for their account. The user creates their own account and then notifies their administrator to activate their account: The new user must first  create a new user account(https://www.gov.wales/create-user-account-file-land-transaction-tax-online)(https://www.gov.wales/create-user-account-file-land-transaction-tax-online)  themselves. The organisation’s administrator must then  activate them (https://www.gov.wales/create-admin-user-account-and-manage-users-land-transaction-tax-online#44370) to file and view tax returns. 
 ",https://www.gov.wales/create-admin-user-account-and-manage-users-land-transaction-tax-online
